Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,Loan_Amount_Term,Credit_History,LoanAmount
0,0,0,0,0,5849,0,360,1,1
0,1,1,0,0,4583,1508,360,1,0
0,1,0,0,1,3000,0,360,1,0
0,1,0,1,0,2583,2358,360,1,0
0,0,0,0,0,6000,0,360,1,0
0,1,2,0,1,5417,4196,360,1,1
0,1,0,1,0,2333,1516,360,1,0
0,1,3,0,0,3036,2504,360,0,1
0,1,2,0,0,4006,1526,360,1,1
0,1,1,0,0,12841,10399.9911456341,360,1,1
0,1,2,0,0,3200,700,360,1,0
0,1,2,0,0,2500,1840,360,1,0
0,1,2,0,0,3073,8106,360,1,1
0,0,0,0,0,1853,2840,360,1,0
0,1,2,0,0,1299,1086,148.882534119623,1,0
0,0,0,0,0,4950,0,360,1,0
0,0,1,1,0,3596,0,240,1,0
1,0,0,0,0,3510,0,360,0,0
0,1,0,1,0,4887,0,360,1,0
0,1,0,0,0,2600,3500,342,1,0
0,1,0,1,0,7660,0,360,0,0
0,1,1,0,0,5955,5625,360,1,1
0,1,0,1,0,2600,1911,360,0,0
0,1,2,1,0,3365,1917,360,0,0
0,1,1,0,0,3717,2925,360,1,1
0,1,0,0,1,9560,0,360,1,1
0,1,0,0,0,2799,2253,360,1,0
0,1,2,1,0,4226,1040,360,1,0
0,0,0,1,0,1442,0,360,1,0
1,0,2,0,0,3750,2083,360,1,0
0,1,1,0,0,4166,3369,360,1,1
0,0,0,0,0,3167,0,360,1,0
0,0,1,0,1,4692,0,360,1,0
0,1,0,0,0,3500,1667,360,1,0
0,0,3,0,0,12500,3000,360,1,1
0,1,0,0,0,2275,2067,360,1,1
0,1,0,0,0,1828,1330,342,0,0
1,1,0,0,0,3667,1459,360,1,0
0,0,0,0,0,4166,7210,360,1,1
0,0,0,1,0,3748,1668,360,1,0
0,0,0,0,0,3600,0,360,1,0
0,0,0,0,0,1800,1213,360,1,0
0,1,0,0,0,2400,0,360,1,0
0,1,0,0,0,3941,2336,360,1,0
0,1,0,1,1,4695,0,342,1,0
1,0,0,0,0,3410,0,342,1,0
0,1,1,0,0,5649,0,360,1,0
0,1,0,0,0,5821,0,360,1,0
1,1,0,0,0,2645,3440,360,0,0
1,0,0,0,0,4000,2275,360,1,0
1,1,0,1,0,1928,1644,360,1,0
1,0,0,0,0,3086,0,360,1,0
1,0,0,0,0,4230,0,360,1,0
0,1,2,0,0,4616,0,360,1,0
1,1,1,0,1,11500,0,360,0,1
0,1,2,0,0,2708,1167,360,1,0
0,1,0,0,0,2132,1591,360,1,0
0,1,0,0,0,3366,2200,360,1,0
0,1,1,0,0,8080,2250,360,1,1
0,1,2,1,0,3357,2859,360,1,0
0,1,0,0,0,2500,3796,360,1,0
0,1,3,0,0,3029,0,360,1,0
0,1,0,1,1,2609,3449,180,0,1
0,1,1,0,0,4945,0,360,0,1
1,0,0,0,0,4166,0,360,0,0
0,1,0,0,0,5726,4595,360,1,1
0,0,0,1,0,3200,2254,180,0,0
0,1,1,0,0,10750,0,360,1,1
0,1,3,1,1,7100,0,148.882534119623,1,0
1,0,0,0,0,4300,0,360,0,0
0,1,0,0,0,3208,3066,360,1,1
0,1,2,1,1,1875,1875,360,1,0
0,0,0,0,0,3500,0,300,1,0
0,1,3,1,0,4755,0,342,0,0
0,1,3,0,1,5266,1774,360,1,1
0,0,0,0,0,3750,0,480,1,0
0,0,0,0,0,3750,4750,360,1,1
0,1,1,0,1,1000,3022,360,1,0
0,1,3,0,0,3167,4000,300,0,1
0,1,3,1,1,3333,2166,360,1,0
1,0,0,0,0,3846,0,360,1,0
0,1,1,0,1,2395,0,360,1,1
1,1,2,0,0,1378,1881,360,1,1
0,1,0,0,0,6000,2250,360,1,1
