Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,Loan_Amount_Term,Credit_History,LoanAmount
Male,No,0,Graduate,No,5849,0,360,1,
Male,Yes,1,Graduate,No,4583,1508,360,1,128
Male,Yes,0,Graduate,Yes,3000,0,360,1,66
Male,Yes,0,Not Graduate,No,2583,2358,360,1,120
Male,No,0,Graduate,No,6000,0,360,1,141
Male,Yes,2,Graduate,Yes,5417,4196,360,1,267
Male,Yes,0,Not Graduate,No,2333,1516,360,1,95
Male,Yes,3,Graduate,No,3036,2504,360,0,158
Male,Yes,2,Graduate,No,4006,1526,360,1,168
Male,Yes,1,Graduate,No,12841,10968,360,1,349
Male,Yes,2,Graduate,No,3200,700,360,1,70
Male,Yes,2,Graduate,,2500,1840,360,1,109
Male,Yes,2,Graduate,No,3073,8106,360,1,200
Male,No,0,Graduate,No,1853,2840,360,1,114
Male,Yes,2,Graduate,No,1299,1086,120,1,17
Male,No,0,Graduate,No,4950,0,360,1,125
Male,No,1,Not Graduate,No,3596,0,240,,100
Female,No,0,Graduate,No,3510,0,360,0,76
Male,Yes,0,Not Graduate,No,4887,0,360,1,133
Male,Yes,0,Graduate,,2600,3500,,1,115
Male,Yes,0,Not Graduate,No,7660,0,360,0,104
Male,Yes,1,Graduate,No,5955,5625,360,1,315
Male,Yes,0,Not Graduate,No,2600,1911,360,0,116
,Yes,2,Not Graduate,No,3365,1917,360,0,112
Male,Yes,1,Graduate,,3717,2925,360,,151
Male,Yes,0,Graduate,Yes,9560,0,360,1,191
Male,Yes,0,Graduate,No,2799,2253,360,1,122
Male,Yes,2,Not Graduate,No,4226,1040,360,1,110
Male,No,0,Not Graduate,No,1442,0,360,1,35
Female,No,2,Graduate,,3750,2083,360,1,120
Male,Yes,1,Graduate,,4166,3369,360,,201
Male,No,0,Graduate,No,3167,0,360,1,74
Male,No,1,Graduate,Yes,4692,0,360,1,106
Male,Yes,0,Graduate,No,3500,1667,360,1,114
Male,No,3,Graduate,No,12500,3000,360,1,320
Male,Yes,0,Graduate,No,2275,2067,360,1,
Male,Yes,0,Graduate,No,1828,1330,,0,100
Female,Yes,0,Graduate,No,3667,1459,360,1,144
Male,No,0,Graduate,No,4166,7210,360,1,184
Male,No,0,Not Graduate,No,3748,1668,360,1,110
Male,No,0,Graduate,No,3600,0,360,1,80
Male,No,0,Graduate,No,1800,1213,360,1,47
Male,Yes,0,Graduate,No,2400,0,360,,75
Male,Yes,0,Graduate,No,3941,2336,360,1,134
Male,Yes,0,Not Graduate,Yes,4695,0,,1,96
Female,No,0,Graduate,No,3410,0,,1,88
Male,Yes,1,Graduate,No,5649,0,360,1,44
Male,Yes,0,Graduate,No,5821,0,360,1,144
Female,Yes,0,Graduate,No,2645,3440,360,0,120
Female,No,0,Graduate,No,4000,2275,360,1,144
Female,Yes,0,Not Graduate,No,1928,1644,360,1,100
Female,No,0,Graduate,No,3086,0,360,1,120
Female,No,0,Graduate,No,4230,0,360,1,112
