Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,Loan_Amount_Term,Credit_History,LoanAmount
Male,No,0,Graduate,No,5849,0,360,1,1
Male,Yes,1,Graduate,No,4583,1508,360,1,0
Male,Yes,0,Graduate,Yes,3000,0,360,1,0
Male,Yes,0,Not Graduate,No,2583,2358,360,1,0
Male,No,0,Graduate,No,6000,0,360,1,0
Male,Yes,2,Graduate,Yes,5417,4196,360,1,1
Male,Yes,0,Not Graduate,No,2333,1516,360,1,0
Male,Yes,3,Graduate,No,3036,2504,360,0,1
Male,Yes,2,Graduate,No,4006,1526,360,1,1
Male,Yes,1,Graduate,No,12841,10968,360,1,1
Male,Yes,2,Graduate,No,3200,700,360,1,0
Male,Yes,2,Graduate,,2500,1840,360,1,0
Male,Yes,2,Graduate,No,3073,8106,360,1,1
Male,No,0,Graduate,No,1853,2840,360,1,0
Male,Yes,2,Graduate,No,1299,1086,120,1,0
Male,No,0,Graduate,No,4950,0,360,1,0
Male,No,1,Not Graduate,No,3596,0,240,,0
Female,No,0,Graduate,No,3510,0,360,0,0
Male,Yes,0,Not Graduate,No,4887,0,360,1,0
Male,Yes,0,Graduate,,2600,3500,,1,0
Male,Yes,0,Not Graduate,No,7660,0,360,0,0
Male,Yes,1,Graduate,No,5955,5625,360,1,1
Male,Yes,0,Not Graduate,No,2600,1911,360,0,0
,Yes,2,Not Graduate,No,3365,1917,360,0,0
Male,Yes,1,Graduate,,3717,2925,360,,1
Male,Yes,0,Graduate,Yes,9560,0,360,1,1
Male,Yes,0,Graduate,No,2799,2253,360,1,0
Male,Yes,2,Not Graduate,No,4226,1040,360,1,0
Male,No,0,Not Graduate,No,1442,0,360,1,0
Female,No,2,Graduate,,3750,2083,360,1,0
Male,Yes,1,Graduate,,4166,3369,360,,1
Male,No,0,Graduate,No,3167,0,360,1,0
Male,No,1,Graduate,Yes,4692,0,360,1,0
Male,Yes,0,Graduate,No,3500,1667,360,1,0
Male,No,3,Graduate,No,12500,3000,360,1,1
Male,Yes,0,Graduate,No,2275,2067,360,1,1
Male,Yes,0,Graduate,No,1828,1330,,0,0
Female,Yes,0,Graduate,No,3667,1459,360,1,0
Male,No,0,Graduate,No,4166,7210,360,1,1
Male,No,0,Not Graduate,No,3748,1668,360,1,0
Male,No,0,Graduate,No,3600,0,360,1,0
Male,No,0,Graduate,No,1800,1213,360,1,0
Male,Yes,0,Graduate,No,2400,0,360,,0
Male,Yes,0,Graduate,No,3941,2336,360,1,0
Male,Yes,0,Not Graduate,Yes,4695,0,,1,0
Female,No,0,Graduate,No,3410,0,,1,0
Male,Yes,1,Graduate,No,5649,0,360,1,0
Male,Yes,0,Graduate,No,5821,0,360,1,0
Female,Yes,0,Graduate,No,2645,3440,360,0,0
Female,No,0,Graduate,No,4000,2275,360,1,0
Female,Yes,0,Not Graduate,No,1928,1644,360,1,0
Female,No,0,Graduate,No,3086,0,360,1,0
Female,No,0,Graduate,No,4230,0,360,1,0
Male,Yes,2,Graduate,No,4616,0,360,1,0
Female,Yes,1,Graduate,Yes,11500,0,360,0,1
Male,Yes,2,Graduate,No,2708,1167,360,1,0
Male,Yes,0,Graduate,No,2132,1591,360,1,0
Male,Yes,0,Graduate,No,3366,2200,360,1,0
Male,Yes,1,Graduate,No,8080,2250,360,1,1
Male,Yes,2,Not Graduate,No,3357,2859,360,1,0
Male,Yes,0,Graduate,No,2500,3796,360,1,0
Male,Yes,3,Graduate,No,3029,0,360,1,0
Male,Yes,0,Not Graduate,Yes,2609,3449,180,0,1
Male,Yes,1,Graduate,No,4945,0,360,0,1
Female,No,0,Graduate,No,4166,0,360,0,0
Male,Yes,0,Graduate,No,5726,4595,360,1,1
Male,No,0,Not Graduate,No,3200,2254,180,0,0
Male,Yes,1,Graduate,No,10750,0,360,1,1
Male,Yes,3,Not Graduate,Yes,7100,0,60,1,0
Female,No,0,Graduate,No,4300,0,360,0,0
Male,Yes,0,Graduate,No,3208,3066,360,1,1
Male,Yes,2,Not Graduate,Yes,1875,1875,360,1,0
Male,No,0,Graduate,No,3500,0,300,1,0
Male,Yes,3,Not Graduate,No,4755,0,,0,0
Male,Yes,3,Graduate,Yes,5266,1774,360,1,1
Male,No,0,Graduate,No,3750,0,480,1,0
Male,No,0,Graduate,No,3750,4750,360,1,1
Male,Yes,1,Graduate,Yes,1000,3022,360,1,0
Male,Yes,3,Graduate,No,3167,4000,300,0,1
Male,Yes,3,Not Graduate,Yes,3333,2166,360,,0
Female,No,0,Graduate,No,3846,0,360,1,0
Male,Yes,1,Graduate,Yes,2395,0,360,1,1
Female,Yes,2,Graduate,No,1378,1881,360,1,1
Male,Yes,0,Graduate,No,6000,2250,360,,1
Male,Yes,1,Graduate,No,3988,0,240,1,0
Male,No,0,Graduate,No,2366,2531,360,1,0
Male,Yes,2,Not Graduate,No,3333,2000,360,,0
Male,Yes,0,Graduate,No,2500,2118,360,1,0
Male,No,0,Graduate,No,8566,0,360,1,1
