"Wind_direction","Humidity","Pressure ","Temperature"
"92.9","67.5","888.7","-2.9"
"93","69.6","888.4","-3.1"
"95.3","72.4","888.2","-3.5"
"89.6","74.1","887.9","-3.6"
"91.3","75.9","887.7","-3.8"
"90.5","77.5","887.4","-4.1"
"87.7","78.7","887.2","-4.3"
"90.8","78.7","887","-4.3"
"92.7","78.8","886.7","-4.2"
"92.7","79.7","886.6","-4.5"
"89.8","80.3","886.4","-4.7"
"88.6","80.6","886.2","-4.7"
"85.9","80.5","886","-4.8"
"81.4","80.2","885.8","-4.9"
"77","81","885.6","-5"
"75","81.4","885.5","-5"
"76.5","80.8","885.3","-4.8"
"78.4","80.3","885.2","-4.7"
"71.7","80.9","885","-4.9"
"74.3","80.3","884.9","-4.7"
"78.3","80.4","884.8","-4.7"
"65","80.5","884.6","-4.7"
"64.1","80","884.5","-4.5"
"72.2","79.1","884.4","-4.4"
"73.7","79.3","884.3","-4.5"
"78.3","80.1","884.2","-4.6"
"55.5","80.2","884","-4.6"
"78","79.5","883.9","-4.6"
"54.7","80","883.8","-4.6"
"59.7","79.8","883.6","-4.5"
"56.9","79.6","883.5","-4.4"
"57.1","79.5","883.4","-4.3"
"54.1","79.7","883.4","-4.3"
"67.7","81.4","883.2","-4.3"
"81.6","83.2","883.1","-4.6"
"47.9","84.5","882.9","-4.6"
"55.7","84.8","882.8","-4.6"
"55.2","85.1","882.7","-4.6"
"55.2","85.4","882.5","-4.7"
"55.2","85.5","882.4","-4.6"
"55.2","86.6","882.3","-4.7"
"3.4","90.3","882.1","-4.9"
"3.3","92.8","882","-5"
"2.8","96","881.8","-5.3"
"2.5","98.5","881.6","-5.4"
"306.5","99.4","881.5","-5.6"
"297","99.4","881.2","-5.6"
"294.4","99.4","881.1","-5.6"
"294.1","99.4","880.9","-5.5"
"297.3","99.4","880.6","-5.6"
"286.3","99.4","880.4","-5.4"
"296.1","99.4","880.3","-5.4"
"285.2","99.4","880.1","-5.3"
"303.7","99.4","879.8","-5.8"
"301.8","99.4","879.5","-6"
"291.3","97.5","879.3","-6.2"
"296.8","91.8","879.2","-6.1"
"305.4","83.8","879.1","-5.8"
"323.3","72.6","879.1","-5.6"
"310.3","61.3","879.3","-5.6"
"303.7","62.9","879.1","-5.5"
"306.3","58.2","879","-5.8"
"306.8","53.3","879","-6"
"305.6","52.5","878.9","-6.1"
"294.9","51.9","879","-6.3"
"296.4","51.2","879","-6.6"
"298.3","48.4","878.9","-6.4"
"300.6","47.1","878.7","-6.4"
"300.3","44.3","878.5","-6.4"
"300.3","40.4","878.8","-6.5"
"304.1","38.8","878.8","-6.5"
"302.7","38.1","878.8","-6.6"
"298.7","38.4","878.5","-6.4"
"308.8","33.5","879.1","-6.6"
"302.7","32.6","879.1","-6.7"
"298.7","32.2","879.1","-6.9"
"295.6","32.5","878.9","-7.1"
"299.3","32.9","878.4","-7.5"
"302","32.1","878.7","-7.7"
"304.1","30.9","878.8","-7.9"
"303.5","30.3","879.1","-7.8"
"296.6","29.4","878.7","-7.8"
"298.1","28.2","878.7","-8"
"299.8","27.9","878.9","-7.9"
"294.7","27.4","879.8","-7.8"
"294","26.8","881.4","-7.7"
"298.1","26","883.7","-7.6"
"296.9","25.5","884.1","-7.7"
"308","25.4","881.5","-7.7"
"301.9","25.6","878.5","-7.8"
"303.3","25.7","877","-8"
"304.1","26.2","876.6","-8.1"
"298.9","26.2","876.3","-8.1"
"295.8","27.1","876.1","-8.2"
"293","27","876.1","-8.3"
"298.3","27.3","876","-8.3"
"296.8","28.2","876","-8.4"
"300.3","28.6","875.8","-8.5"
"299.6","28.4","875.8","-8.8"
"299.5","28.5","875.7","-8.9"
"305","29.2","875.6","-9.1"
"300.4","29.7","875.5","-9.3"
"301.1","30.2","875.4","-9.4"
"308.3","30.7","875.3","-9.7"
"306.9","31.3","875.3","-9.8"
"302.3","30.9","875.1","-9.7"
"307.4","31.1","875","-9.8"
"313.8","31.8","874.9","-10"
"306.9","32.4","874.7","-10.2"
"310.8","32.2","874.7","-10.1"
"279.7","33.5","874.6","-10.5"
"257.3","35.4","874.5","-10.9"
"264.9","35.2","874.3","-10.8"
"248.3","34.9","874.2","-10.8"
"278.6","34.7","874.3","-10.5"
"279.2","35.3","874.1","-10.7"
"269.6","35","874.1","-10.7"
"276.1","34.9","874","-10.6"
"287.2","34.5","874","-10.5"
"311.7","33.4","874","-10.3"
"307.7","33.9","873.9","-10.5"
"297.4","34.6","873.8","-10.6"
"297.9","35.5","873.8","-10.9"
"294.9","35.2","873.7","-10.8"
"266.8","37.2","873.7","-11.3"
"263.7","38.9","873.6","-11.6"
"284.9","40.4","873.5","-11.8"
"300.5","39.9","873.4","-11.8"
"305.8","39.9","873.3","-11.8"
"307.7","40.2","873.3","-11.7"
"305.6","40.5","873.3","-11.9"
"298.5","40.2","873.1","-11.9"
"299","40.4","873.1","-11.8"
"306.1","40.1","873","-11.9"
"300.2","39.5","872.9","-12"
"305.5","40.5","872.9","-12.2"
"304","40.7","872.8","-12.1"
"296.5","41.9","872.7","-12.1"
"300.3","43.5","872.7","-12.3"
"308.5","44.5","872.6","-12.5"
"308.5","45.3","872.5","-12.5"
"305.5","44.6","872.4","-12.4"
"303.7","44.1","872.4","-12.4"
"299.5","44.2","872.3","-12.4"
"296.7","44.8","872.3","-12.5"
"301.4","45.5","872.2","-12.7"
"298","46.5","872.2","-13"
"307.2","46.6","872","-13"
"295","48","871.9","-13.2"
"299.3","47.5","871.9","-13"
"296.9","46.8","872.7","-12.7"
"302.9","45.8","874.8","-12.6"
"302","45.2","878.6","-12.4"
"297.5","44.1","884.2","-12.2"
"297","43.3","890.6","-12"
"296.9","41.7","894.6","-11.9"
"303.7","41.3","898.6","-11.6"
"293.9","39.9","901.5","-11.3"
"298.6","39.3","903.7","-11.4"
"299.9","39.3","904.3","-11.2"
"294.1","39.8","908.1","-11.1"
"294.7","39.6","911.7","-10.7"
"298.8","39.1","919.4","-10"
"300.7","37.7","929.3","-9.8"
"294.4","36.4","934.8","-9.7"
"295.1","33.1","940.9","-9.6"
"298.7","34.5","940.3","-9.6"
"293.3","31.6","940.8","-9.4"
"305","31.9","941.5","-9.3"
"298.1","31.4","940","-9"
"290","31.4","937.4","-8.8"
"297.4","33.3","938.8","-9.1"
"294.2","36.5","940","-9"
"296.7","38.9","934.6","-9.6"
"298.2","40.3","895.3","-9.6"
"300.7","42","893.7","-9.7"
"294.7","41.3","895.1","-9.4"
"294.5","39.8","909","-9.3"
"298.7","39","902","-9.3"
"299","37.4","893.2","-9.1"
"295.1","30.2","940.8","-8.6"
"293.9","28.5","906.3","-8.5"
"299.2","26.1","920.5","-8.4"
"296.4","25.6","906","-8.1"
"296.2","24.8","939.9","-8"
"297.3","23.8","940.5","-8.1"
"298.9","24.2","906.1","-8.1"
"300.7","23.7","896.3","-8.3"
"304.1","23.7","891.2","-8.6"
"296.9","23.6","889","-8.8"
"307.4","22.6","888.3","-8.8"
"305","22.3","887.9","-9"
"309.5","22.4","887.6","-9.3"
"304.7","22.6","887.2","-9.5"
"300.3","23.2","886.9","-9.7"
"304.9","23.2","886.6","-9.8"
"303.2","23.9","886.4","-10"
"298.5","24.4","886.1","-10.2"
"302.3","24.2","885.8","-10.2"
"309.4","24","885.6","-10.3"
"308.1","24.1","885.4","-10.5"
"306.7","23.9","885.2","-10.6"
"297","23.5","885","-10.6"
"301.5","23.7","884.7","-10.8"
"296.9","22.9","884.6","-11"
"299.2","22.2","884.4","-11.1"
"305","22.2","884.2","-11.2"
"307.1","22.2","884","-11.4"
"303.7","22.3","883.7","-11.6"
"303.7","22","883.6","-11.7"
"301.3","23","883.5","-12"
"306.5","23.1","883.3","-12.2"
"298.1","24.6","883.1","-12.5"
"299.4","25.1","882.9","-12.7"
"299.2","26.3","882.6","-13"
"299.6","26.9","882.4","-13.2"
"295","28.2","882.1","-13.4"
"301.9","28.9","881.9","-13.6"
"300.4","29.5","881.6","-13.7"
"301.5","29.5","881.5","-13.9"
"303.2","29.3","881.2","-14"
"300.6","30","881.1","-14.2"
"301.3","29.9","880.8","-14.3"
"304.2","28.8","880.6","-14.4"
"302.9","29","880.4","-14.4"
"300.2","29.2","880.3","-14.6"
